team,pass_reliability,pass_under_pressure,shot_conversion,xg_per_shot,ball_retention,pressure_success,pressure_aggression
AC Ajaccio,79,68,0,4,96,28,35
AC Milan,78,69,9,10,97,41,41
AFC Bournemouth,78,69,9,8,97,39,40
Ajax,76,64,7,8,98,56,42
Albacete,63,55,10,13,96,52,30
Albania,81,67,9,7,97,32,30
Algeria,84,77,6,8,98,47,45
Almería,71,66,7,6,96,29,34
Angers,75,65,10,9,96,33,38
Angola,78,70,17,12,96,35,38
Argentina,84,74,16,16,98,40,39
Argentina U20,86,84,16,9,96,66,40
Argentina Women's,70,71,10,7,95,37,39
Arsenal,81,72,12,11,97,50,38
Arsenal WFC,82,78,18,14,97,54,44
AS Monaco,76,66,12,12,97,36,40
AS Roma,81,71,14,10,98,40,42
Aston Villa,73,65,7,8,96,42,38
Atalanta,74,67,8,9,97,35,40
Athletic Club,73,65,11,10,97,39,38
ATK Mohun Bagan,78,67,11,10,97,53,39
Atlético Madrid,76,69,12,11,97,39,37
Augsburg,75,66,9,9,97,34,38
Australia,78,72,8,9,97,34,36
Australia Women's,75,69,15,17,97,53,40
Austria,82,71,11,10,98,35,44
Austria Women's,69,58,5,6,96,61,38
Auxerre,84,76,4,6,98,31,34
Barcelona,87,82,16,13,98,47,42
Bastia,71,64,10,8,97,36,38
Bayer Leverkusen,82,74,12,11,98,42,44
Bayern Munich,86,78,12,12,98,45,45
Belgium,85,76,10,10,98,34,38
Belgium Women's,74,66,13,11,97,37,36
Bengaluru,74,65,12,11,97,49,44
Birmingham City,69,61,0,7,97,31,40
Birmingham City WFC,73,70,9,8,96,44,40
Blackburn Rovers,71,62,0,7,97,39,40
Boca Juniors,75,72,22,13,95,45,40
Bochum,72,65,0,7,96,31,38
Bolivia,80,72,6,6,96,35,36
Bologna,76,70,8,8,97,36,39
Bolton Wanderers,63,63,6,8,95,43,42
Bordeaux,77,67,10,9,97,39,41
Borussia Dortmund,83,73,15,15,98,39,44
Borussia Mönchengladbach,80,71,14,11,98,36,40
Brazil,84,77,10,12,97,47,40
Brazil Women's,77,71,11,11,96,52,42
Brighton & Hove Albion WFC,68,64,8,10,96,40,40
Bristol City WFC,62,59,9,9,95,40,38
Burkina Faso,78,74,9,11,96,43,40
Caen,69,62,8,9,96,39,38
Cameroon,78,69,12,9,98,44,39
Cameroon Women's,59,53,7,9,95,44,38
Canada,81,69,11,18,97,40,41
Canada Women's,78,72,5,10,97,53,46
Cape Verde Islands,81,72,11,13,97,42,40
Carpi,67,61,8,9,96,34,39
CD Numancia de Soria,62,66,20,5,95,52,26
Celta Vigo,78,70,11,11,97,42,38
Charlotte,75,77,9,9,97,36,40
Charlton Athletic,69,65,11,9,95,35,38
Chelsea,81,73,11,10,97,41,39
Chelsea FCW,79,71,13,12,98,49,45
Chennaiyin,75,70,7,9,97,45,36
Chicago Red Stars,67,67,11,12,97,52,36
Chievo,74,67,10,9,97,34,40
Chile,77,70,0,7,97,34,40
Chile Women's,73,71,3,8,96,39,40
China PR Women's,71,65,5,8,95,42,38
Cincinnati,77,62,7,14,96,36,36
Clermont Foot,85,80,14,17,98,29,38
Colombia,80,71,17,13,97,36,41
Colombia Women's,71,68,10,7,94,40,46
Congo DR,79,69,18,22,97,35,40
Costa Rica,75,67,10,8,96,39,31
Costa Rica Women's,71,63,4,11,96,34,40
Croatia,83,76,15,15,98,34,40
Crystal Palace,72,65,8,9,96,46,38
Czech Republic,76,66,9,10,98,41,38
Czechoslovakia,83,72,3,8,97,47,36
Cádiz,58,58,17,21,95,48,28
Córdoba CF,71,73,0,5,96,27,29
Côte d'Ivoire,82,75,13,11,97,46,41
Darmstadt 98,56,51,11,11,96,31,37
Denmark,82,74,9,11,98,41,37
Denmark Women's,71,57,6,10,97,40,40
Deportivo Alavés,71,66,9,11,96,31,31
East Bengal,68,58,8,8,96,41,37
Ecuador,77,64,12,14,97,42,38
Egypt,81,75,14,15,98,38,38
Eibar,68,62,10,11,97,41,40
Eintracht Frankfurt,74,65,9,9,97,37,40
Elche,78,68,0,6,97,26,34
Empoli,80,73,8,8,97,40,40
England,85,77,16,14,98,35,40
England Women's,81,73,18,16,97,39,46
Equatorial Guinea,76,70,29,13,97,30,37
Espanyol,72,65,9,10,96,38,36
Everton,79,71,11,10,97,46,36
Everton LFC,72,66,11,10,97,41,43
FC Heidenheim,73,65,25,10,97,20,38
FC Köln,75,64,9,10,97,31,38
FC Porto,65,67,75,12,97,58,30
Finland,78,66,5,8,97,27,33
Fiorentina,84,75,10,9,98,39,42
France,84,75,13,13,98,36,36
France Women's,79,71,14,14,97,55,46
Freiburg,77,57,14,8,97,42,28
Frosinone,68,60,7,6,96,35,40
FSV Mainz 05,73,66,12,11,96,33,40
Fulham,70,69,0,7,96,40,36
Gambia,75,65,6,8,97,33,36
Gazélec Ajaccio,73,65,8,8,97,40,40
Genoa,75,66,9,9,97,38,42
Georgia,79,70,13,14,97,36,27
German DR,72,57,4,5,96,59,32
Germany,86,80,8,10,98,41,43
Germany Women's,77,69,13,13,97,41,45
Getafe,73,66,8,9,96,38,37
Ghana,78,67,20,14,97,38,36
Gimnàstic Tarragona,77,84,9,8,97,30,34
Girona,77,69,7,9,97,31,38
Goa,80,69,8,9,97,57,45
Granada,72,65,11,10,96,38,36
Guinea,78,70,9,13,97,37,38
Guinea-Bissau,82,71,3,6,97,31,38
Guingamp,71,62,12,10,96,38,37
Haiti Women's,62,58,0,8,95,52,34
Hamburger SV,73,64,10,10,97,33,42
Hannover 96,73,65,8,8,97,37,38
Hellas Verona,73,64,7,9,97,36,40
Hertha Berlin,78,69,12,11,97,33,38
Hoffenheim,75,67,10,11,97,32,39
Houston Dash,63,70,11,10,97,42,38
Huesca,81,72,16,20,97,26,30
Hungary,76,68,10,9,97,30,32
Hyderabad,71,63,15,10,96,50,40
Hércules,70,66,15,16,96,23,35
Iceland,65,66,6,13,97,25,40
Iceland Women's,66,59,8,13,96,43,40
Ingolstadt,65,60,8,9,96,33,44
Inter Miami,86,75,13,10,98,40,42
Inter Milan,80,71,9,10,98,37,42
Iran,66,63,9,12,97,34,34
Italy,86,76,11,11,98,36,38
Italy Women's,74,67,9,10,96,44,40
Jamaica,75,61,4,8,96,55,34
Jamaica Women's,63,63,3,5,95,39,41
Jamshedpur,65,61,13,11,96,50,42
Japan,80,69,13,13,98,30,36
Japan Women's,81,76,12,11,97,38,40
Juventus,83,74,11,10,97,43,40
Kerala Blasters,70,66,12,11,97,50,40
Korea Republic Women's,73,67,3,8,96,39,44
LAFC,80,71,5,8,97,43,46
Las Palmas,80,71,9,8,97,47,37
Lazio,77,71,10,10,97,41,44
Leeds United,72,70,6,5,96,47,42
Leganés,70,69,8,8,96,29,36
Leicester City,69,65,13,13,96,42,37
Lens,83,79,8,9,98,34,34
Levante UD,73,65,8,9,96,42,34
Lille,77,68,8,8,97,41,41
Liverpool,78,69,10,10,97,39,42
Liverpool WFC,66,66,7,10,96,39,41
Lorient,79,72,11,10,97,39,38
Lyon,82,74,11,11,97,39,44
Mali,83,74,8,9,98,32,45
Mallorca,72,72,9,9,97,31,35
Manchester City,81,70,11,10,97,48,40
Manchester City WFC,82,76,14,13,97,44,48
Manchester United,78,71,11,10,97,44,43
Marseille,81,72,9,10,97,41,43
Mauritania,69,68,6,7,96,37,37
Metz,76,54,0,12,96,29,32
Mexico,79,72,4,8,97,42,40
Middlesbrough,75,67,7,9,97,31,40
Montpellier,77,69,12,10,97,40,40
Morocco,81,74,10,12,97,36,37
Morocco Women's,60,55,7,11,95,31,42
Mozambique,81,68,14,9,97,45,36
Mumbai City,77,72,12,10,97,55,40
Málaga,71,66,8,9,97,44,36
Namibia,68,62,3,11,96,39,42
Nantes,75,69,7,8,97,37,40
Napoli,84,76,12,10,98,40,43
Nashville SC,79,71,0,8,98,28,28
Netherlands,83,72,14,12,98,40,39
Netherlands Women's,79,72,13,10,97,40,44
New York Red Bulls,81,77,0,9,97,34,46
New Zealand Women's,68,62,2,9,96,41,40
Newcastle United,75,66,11,10,96,42,36
Nigeria,75,72,11,14,97,34,40
Nigeria Women's,65,60,7,10,96,40,38
NJ/NY Gotham FC,69,70,10,13,97,42,39
North Carolina Courage,69,67,11,13,97,48,46
North Macedonia,81,72,6,11,96,47,34
NorthEast United,71,67,9,9,96,54,37
Northern Ireland,67,47,6,6,95,38,36
Norway Women's,76,68,12,12,97,38,42
Norwich City,72,65,9,9,97,44,36
NY Cosmos,82,78,8,9,97,46,37
Odisha,74,66,13,10,96,50,36
OGC Nice,83,74,13,11,98,36,40
OL Reign,68,69,10,12,97,46,42
Orlando Pride,69,71,7,12,97,49,42
Osasuna,66,62,7,8,96,31,34
Palermo,73,67,9,9,96,37,38
Panama,80,76,9,8,98,33,38
Panama Women's,62,52,12,8,94,40,38
Panathinaikos,74,66,0,6,96,66,36
Paraguay,79,70,7,7,97,39,43
Paris Saint-Germain,89,81,16,14,98,40,41
Peru,77,70,5,7,97,36,36
Philippines Women's,57,55,9,5,95,28,41
Poland,79,72,9,11,97,34,36
Poland Women's,70,60,9,8,96,33,38
Portland Thorns,69,74,14,14,97,58,38
Portsmouth,64,63,9,11,94,33,38
Portugal,86,76,13,13,98,41,40
Portugal Women's,75,68,8,10,96,42,44
Qatar,81,70,5,7,98,40,30
Racing Santander,70,64,5,9,96,27,34
Rayo Vallecano,75,69,9,10,97,41,42
RB Leipzig,83,72,17,12,98,35,38
RC Deportivo La Coruña,73,67,9,9,97,38,36
Reading WFC,71,69,10,10,96,52,43
Real Betis,74,68,11,10,97,40,36
Real Madrid,83,76,14,11,98,38,38
Real Murcia CF,76,79,14,10,98,28,44
Real Sociedad,75,68,10,10,97,39,38
Real Valladolid,74,70,4,7,96,35,35
Real Zaragoza,72,72,10,10,96,32,34
Recreativo Huelva,71,68,5,9,96,40,33
Rennes,79,70,12,10,97,38,39
Republic of Ireland Women's,71,60,4,8,96,29,45
River Plate,75,61,3,10,96,46,48
Romania,75,62,11,9,97,34,35
Russia,72,67,23,17,97,31,36
Saint-Étienne,75,65,9,10,97,37,42
Sampdoria,78,71,10,9,97,37,39
Sassuolo,76,68,10,9,97,39,42
Saudi Arabia,80,78,8,10,97,43,38
Schalke 04,79,70,10,9,97,38,39
Scotland,78,67,3,8,97,35,38
Scotland Women's,77,77,16,9,96,45,38
Seattle Sounders,77,95,4,7,95,34,40
Senegal,78,69,16,13,97,33,40
Serbia,80,69,9,10,98,31,40
Sevilla,76,67,10,12,97,38,36
Slovakia,82,67,7,7,98,30,36
Slovenia,72,61,5,14,98,27,33
South Africa,81,75,19,21,97,40,38
South Africa Women's,63,63,9,9,95,36,39
South Korea,79,72,10,8,97,32,37
Southampton,75,67,10,10,97,43,38
Soviet Union U20,71,62,9,4,96,46,34
Spain,89,83,12,14,98,38,46
Spain Women's,84,78,10,11,98,51,51
Sporting Gijón,70,63,10,11,97,41,36
Stade Brestois,82,76,8,13,97,22,40
Stade de Reims,75,68,9,10,96,40,40
Stoke City,77,70,9,9,97,46,36
Strasbourg,86,80,10,9,98,21,40
Sunderland,69,63,10,9,97,40,36
Swansea City,79,72,9,9,97,40,38
Sweden,72,65,11,12,97,30,35
Sweden Women's,74,64,14,15,96,43,44
Switzerland,83,76,15,14,98,32,38
Switzerland Women's,77,66,9,9,96,40,39
Tanzania,83,72,8,4,98,33,35
Tenerife,67,66,6,10,96,24,38
Thailand Women's,62,70,8,4,94,38,26
Torino,79,68,10,10,97,36,38
Toronto FC,87,84,0,10,96,34,34
Tottenham Hotspur,78,71,10,9,97,43,42
Tottenham Hotspur Women,73,65,8,10,96,43,41
Toulouse,73,65,10,11,96,38,41
Troyes,77,69,7,8,97,37,38
Tunisia,78,73,7,10,97,32,40
Turkey,83,74,8,8,98,36,36
Udinese,72,63,7,10,97,36,38
Ukraine,85,72,9,10,98,32,36
Union Berlin,77,72,0,5,97,29,34
United States,80,72,8,10,97,43,38
United States Women's,75,70,15,14,97,54,44
Uruguay,78,68,13,13,97,37,39
Utah Royals,73,73,11,10,97,46,40
Valencia,76,68,11,11,97,33,38
Venezuela,78,67,16,16,97,46,40
VfB Stuttgart,73,63,10,11,97,32,44
Vietnam Women's,58,52,0,4,95,24,34
Villarreal,76,70,12,11,97,39,36
Wales,75,65,8,11,97,32,35
Washington Spirit,68,70,3,9,97,41,40
Watford,71,63,8,10,97,44,36
Werder Bremen,70,64,11,11,96,39,39
West Bromwich Albion,68,61,8,10,96,42,36
West Ham United,76,67,11,10,97,51,36
West Ham United LFC,69,66,11,11,96,45,41
WNT Finland,76,69,8,7,96,35,40
Wolfsburg,82,74,9,9,98,42,38
Wolverhampton Wanderers,66,59,5,7,96,37,38
Xerez,64,57,7,8,95,43,34
Yeovil Town LFC,56,59,8,9,95,39,38
Zambia,83,73,8,5,98,31,34
Zambia Women's,64,57,12,9,94,35,42
